Type,Title,Game,Date,Description,Image
Shiny Milestone,First Starter Hunt,Pokémon X,2023-10-22,Shiny Greninja — my first ever starter hunt.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/658.png
Event Shiny,Shiny Rayquaza,Pokémon Scarlet,2024-12-29,Caught from the Shiny Rayquaza Tera Raid event in a Moon Ball.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/384.png
Shiny Hunt,Bulbasaur Catch Combo,Let's Go Eevee,2026-06-16,Shiny Bulbasaur after an 89 catch combo in Viridian Forest.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/1.png
Playthrough,Nugget Hoard,Pokémon LeafGreen,2026-07-01,Farmed 90 Nuggets during the Safari Week prep run.,
